symbol,asset_type,lstm_mae,lstm_rmse,lstm_mape,lstm_r2,lstm_dir_acc,tr_mae,tr_rmse,tr_mape,tr_r2,tr_dir_acc,naive_mae,naive_mape,mae_winner,rmse_winner,mape_winner,r2_winner,dir_acc_winner
RELIANCE.NS,stocks,49.22601818647541,62.89740927188271,3.364459204070046,0.21203622306468828,47.540983606557376,118.54384859012124,137.40950299500116,8.053900068083749,-2.760748371668507,49.72677595628415,13.037697713883198,0.9163995021311782,lstm,lstm,lstm,lstm,transformer
AXISBANK.NS,stocks,80.21879069010417,90.8902245636691,6.393463958956818,0.1518460942932247,47.540983606557376,92.1061784921448,104.97228570232794,7.295410998633376,-0.13133082667970686,48.63387978142077,13.314751963797814,1.0742781733226066,lstm,lstm,lstm,lstm,transformer
HDFCBANK.NS,stocks,116.5447330995987,124.76868836089868,12.111358678606189,-1.9562657256237772,56.830601092896174,59.579209958269296,90.62562308311233,6.992422738871936,-0.559675536135863,47.540983606557376,7.674041247758709,0.8583871840990178,transformer,transformer,transformer,transformer,lstm
ONGC.NS,stocks,6.169520393746798,7.827428107342581,2.4226960143820038,0.7965957223615046,44.80874316939891,12.393851775289233,16.74644076793434,4.6765154970834555,0.06896299561191943,48.63387978142077,2.432950963088072,0.9516830759118088,lstm,lstm,lstm,lstm,transformer
SBIN.NS,stocks,158.94705283576673,187.76591592273314,15.365115892061532,-1.5734054070217018,43.169398907103826,89.06925622491889,110.1043444623017,8.58737272018752,0.11512158767891434,44.80874316939891,9.641804012444501,0.9582364180745642,transformer,transformer,transformer,transformer,transformer
INFY.NS,stocks,71.62039868297472,90.62571764711255,4.961553711893364,0.46839311706453113,46.44808743169399,88.9504221098019,104.65391979555807,6.125929511821074,0.2910776364585381,51.36612021857923,17.366661196849385,1.1952267491066801,lstm,lstm,lstm,lstm,transformer
TCS.NS,stocks,228.72639973958334,313.04105855432596,8.527325742675385,-0.3439110680660571,46.44808743169399,400.5353897178108,466.8841329279464,14.448142277206493,-1.9894146126406231,45.90163934426229,30.832243372182376,1.0629796977222727,lstm,lstm,lstm,lstm,lstm
ICICIBANK.NS,stocks,97.78601807974727,105.077557833769,7.033293349193177,-2.861444667083388,56.830601092896174,76.7653982026981,89.01240706508517,5.719907797593868,-1.7709645233519278,46.44808743169399,11.819121814164959,0.8711239390223077,transformer,transformer,transformer,transformer,lstm
KOTAKBANK.NS,stocks,22.719156901041668,25.380918485418466,5.435019122751275,-0.3329165896056705,54.09836065573771,42.337110842511954,47.09812726585762,10.099028347551029,-3.589819243075235,55.73770491803278,3.9392893640070015,0.9758608559884909,lstm,lstm,lstm,lstm,transformer
ADANIPORTS.NS,stocks,166.14199312137126,180.23825180149638,11.32859842731971,-5.151351473530216,51.36612021857923,141.41440936646174,155.57518816550308,9.612867957636622,-3.5830783251921536,53.00546448087432,17.837160204277662,1.2454468987850889,transformer,transformer,transformer,transformer,transformer
ADANIENT.NS,stocks,131.89282560087943,165.53727441377865,5.867050331848034,0.25946944732914323,55.19125683060109,286.84975679324623,324.94904248646213,13.344218669296287,-1.853526459957374,44.80874316939891,33.38002022498292,1.5120528886452465,lstm,lstm,lstm,lstm,lstm
BAJFINANCE.NS,stocks,163.68098758218068,177.3884316890695,16.559307626863266,-6.035465258307881,46.44808743169399,172.0205828557249,183.57473780160566,17.453063192087388,-6.534736478048228,46.44808743169399,12.738251566235485,1.3422570248621506,lstm,lstm,lstm,lstm,transformer
BHARTIARTL.NS,stocks,293.56394616632514,304.5824462756164,14.741351387360721,-7.960975870371852,49.72677595628415,148.26630605895662,171.98086295900174,7.33517394475372,-1.856970885523182,50.81967213114754,17.165030390838456,0.8749951017583281,transformer,transformer,transformer,transformer,transformer
^NSEI,indices,1686.2976007513662,1765.7001351008535,6.666037846018584,-2.957725274257623,47.540983606557376,790.4765411543716,928.4010814641642,3.1508912667884066,-0.09416550563901138,49.18032786885246,155.22104465505464,0.629014336892832,transformer,transformer,transformer,transformer,transformer
^NSEBANK,indices,4888.127796277322,5184.916762130336,8.424499887380724,-3.500084357762529,44.80874316939891,5250.240202356557,5802.579571590619,8.997595138482547,-4.636107747896778,46.44808743169399,394.534900102459,0.7002623428308808,lstm,lstm,lstm,lstm,transformer
^NSEMDCP50,indices,1392.550083705357,1448.605756360929,8.312522644645714,-5.2569933263079305,48.9010989010989,626.4474909855769,853.6683126545701,3.87218051427366,-1.17291931690806,56.043956043956044,136.7389358688187,0.8334457337299748,transformer,transformer,transformer,transformer,transformer
^CNXAUTO,indices,3111.993169457873,3279.3755490794742,11.512374423202875,-4.9013033150056575,51.38121546961326,3386.919975828729,3593.263078163032,12.539010919259338,-6.085062055068938,51.93370165745856,255.94802097720995,0.9728051912827357,lstm,lstm,lstm,lstm,transformer
