symbol,asset_type,lstm_mae,lstm_rmse,lstm_mape,lstm_r2,lstm_dir_acc,tr_mae,tr_rmse,tr_mape,tr_r2,tr_dir_acc,naive_mae,naive_mape,mae_winner,rmse_winner,mape_winner,r2_winner,dir_acc_winner
RELIANCE.NS,stocks,23.714504888148905,30.710488469255424,1.632336227609854,0.8121487077391012,55.73770491803278,66.43888212943989,77.45809284279146,4.600049187664022,-0.1950177000496287,49.72677595628415,13.037697713883198,0.9163995021311782,lstm,lstm,lstm,lstm,lstm
AXISBANK.NS,stocks,53.76350110997268,69.03521568123784,4.159065690371445,0.5106927107941123,46.44808743169399,102.52799612576844,119.36778048923098,8.102375566373942,-0.4628997001274804,49.18032786885246,13.314751963797814,1.0742781733226066,lstm,lstm,lstm,lstm,transformer
HDFCBANK.NS,stocks,60.76781626216701,67.93618404359809,6.284515675043373,0.12353506221602917,55.19125683060109,106.99940865938781,116.18498111722536,11.130436059551311,-1.5634935712442863,57.92349726775956,7.674041247758709,0.8583871840990178,lstm,lstm,lstm,lstm,transformer
ONGC.NS,stocks,11.030822253618084,13.302090307477934,4.279747695760651,0.4125624675199081,48.08743169398907,32.67810367104786,33.81372989618002,13.084161083112505,-2.795841463908998,51.36612021857923,2.432950963088072,0.9516830759118088,lstm,lstm,lstm,lstm,transformer
SBIN.NS,stocks,145.7180599358564,177.31648224765092,13.96462215250151,-1.2949482803832582,44.26229508196721,153.90759844337003,188.50316070247825,14.71465141872647,-1.5936535371253773,45.3551912568306,9.641804012444501,0.9582364180745642,lstm,lstm,lstm,lstm,transformer
INFY.NS,stocks,30.153504418545083,40.91426342263048,2.125714906828333,0.8916479451524122,48.63387978142077,140.97646711172303,168.19378650545943,9.6101426445086,-0.8310810732436602,49.18032786885246,17.366661196849385,1.1952267491066801,lstm,lstm,lstm,lstm,transformer
TCS.NS,stocks,167.32438951502732,251.2312090862715,6.339995076996222,0.13440427943454347,44.26229508196721,300.6519461876708,405.28373884496193,11.160336981804521,-1.2526114205532752,46.994535519125684,30.832243372182376,1.0629796977222727,lstm,lstm,lstm,lstm,transformer
ICICIBANK.NS,stocks,82.44457140646345,89.74616144106147,5.919129856978332,-1.8168364992435548,59.56284153005464,59.11057235634392,70.4754719905794,4.284035502084003,-0.7370241683225138,59.56284153005464,11.819121814164959,0.8711239390223077,transformer,transformer,transformer,transformer,transformer
KOTAKBANK.NS,stocks,16.932288331412227,20.251290190288966,4.026405811887372,0.15141822830889362,57.92349726775956,53.728860657071806,58.056213999304994,12.868059514491026,-5.974060755746149,53.00546448087432,3.9392893640070015,0.9758608559884909,lstm,lstm,lstm,lstm,lstm
ADANIPORTS.NS,stocks,90.81976551827186,102.9511997368572,6.167483212363721,-1.006963312480277,51.91256830601093,108.59929119172644,125.33298441854271,7.416601229675609,-1.9744547875867346,49.72677595628415,17.837160204277662,1.2454468987850889,lstm,lstm,lstm,lstm,lstm
ADANIENT.NS,stocks,58.737584181822065,71.59928536604193,2.6585863269841843,0.8614620502709802,51.91256830601093,288.5444169174778,307.65775529774356,13.035266421007794,-1.557920926621704,43.169398907103826,33.38002022498292,1.5120528886452465,lstm,lstm,lstm,lstm,lstm
BAJFINANCE.NS,stocks,145.1822813273779,157.08762858494546,14.685307074867362,-4.51729495236179,46.44808743169399,240.44336938076333,248.9062448361927,24.579497240380643,-12.852042655612948,46.44808743169399,12.738251566235485,1.3422570248621506,lstm,lstm,lstm,lstm,transformer
BHARTIARTL.NS,stocks,213.28888639856558,227.56712708340925,10.65429273514702,-4.0022411051754725,49.72677595628415,222.70231720137465,243.3591622579781,11.083181477052475,-4.720591947256079,49.72677595628415,17.165030390838456,0.8749951017583281,lstm,lstm,lstm,lstm,transformer
^NSEI,indices,464.3621072404372,557.0694620293665,1.8472694147731312,0.6060596676884993,50.27322404371585,633.7775251878415,773.0474729069055,2.5244668034571727,0.24138037497996123,53.00546448087432,155.22104465505464,0.629014336892832,lstm,lstm,lstm,lstm,transformer
^NSEBANK,indices,4900.1861552254095,5356.690642759748,8.4082274797455,-3.8031949009397055,46.44808743169399,4335.619684938524,4820.655984805846,7.429017496697039,-2.889997820381035,46.994535519125684,394.534900102459,0.7002623428308808,transformer,transformer,transformer,transformer,transformer
^NSEMDCP50,indices,422.2676693423764,501.71368554713206,2.5184427417798143,0.24945424341811318,49.45054945054945,643.7369129893544,759.5810447963052,3.813016567143241,-0.7203369422588333,53.84615384615385,136.7389358688187,0.8334457337299748,lstm,lstm,lstm,lstm,transformer
^CNXAUTO,indices,2968.883718922652,3217.7100955951064,10.936737418386482,-4.68145347704783,52.48618784530387,1896.1751230145028,2187.7386321662316,7.023928162740746,-1.6263735758019902,52.48618784530387,255.94802097720995,0.9728051912827357,transformer,transformer,transformer,transformer,transformer
