date,actual_close,predicted_close,naive_close,abs_error,naive_abs_error
2025-07-28,24680.900390625,24943.248,24837.0,262.34765625,156.099609375
2025-07-29,24821.099609375,24866.213,24680.900390625,45.11328125,140.19921875
2025-07-30,24855.05078125,24804.014,24821.099609375,51.037109375,33.951171875
2025-07-31,24768.349609375,24771.447,24855.05078125,3.09765625,86.701171875
2025-08-01,24565.349609375,24714.62,24768.349609375,149.26953125,203.0
2025-08-04,24722.75,24651.846,24565.349609375,70.904296875,157.400390625
2025-08-05,24649.55078125,24591.621,24722.75,57.9296875,73.19921875
2025-08-06,24574.19921875,24546.215,24649.55078125,27.984375,75.3515625
2025-08-07,24596.150390625,24477.883,24574.19921875,118.267578125,21.951171875
2025-08-08,24363.30078125,24465.371,24596.150390625,102.0703125,232.849609375
2025-08-11,24585.05078125,24450.637,24363.30078125,134.4140625,221.75
2025-08-12,24487.400390625,24463.143,24585.05078125,24.2578125,97.650390625
2025-08-13,24619.349609375,24464.531,24487.400390625,154.818359375,131.94921875
2025-08-14,24631.30078125,24473.445,24619.349609375,157.85546875,11.951171875
2025-08-18,24876.94921875,24504.902,24631.30078125,372.046875,245.6484375
2025-08-19,24980.650390625,24551.105,24876.94921875,429.544921875,103.701171875
2025-08-20,25050.55078125,24644.266,24980.650390625,406.28515625,69.900390625
2025-08-21,25083.75,24710.516,25050.55078125,373.234375,33.19921875
2025-08-22,24870.099609375,24799.693,25083.75,70.40625,213.650390625
2025-08-25,24967.75,24884.416,24870.099609375,83.333984375,97.650390625
2025-08-26,24712.05078125,24958.307,24967.75,246.255859375,255.69921875
2025-08-28,24500.900390625,25002.283,24712.05078125,501.3828125,211.150390625
2025-08-29,24426.849609375,25036.105,24500.900390625,609.255859375,74.05078125
2025-09-01,24625.05078125,25047.469,24426.849609375,422.41796875,198.201171875
2025-09-02,24579.599609375,25083.443,24625.05078125,503.84375,45.451171875
2025-09-03,24715.05078125,25087.824,24579.599609375,372.7734375,135.451171875
2025-09-04,24734.30078125,25068.004,24715.05078125,333.703125,19.25
2025-09-05,24741.0,25068.7,24734.30078125,327.69921875,6.69921875
2025-09-08,24773.150390625,25083.822,24741.0,310.671875,32.150390625
2025-09-09,24868.599609375,25080.59,24773.150390625,211.990234375,95.44921875
2025-09-10,24973.099609375,25070.994,24868.599609375,97.89453125,104.5
2025-09-11,25005.5,25062.062,24973.099609375,56.5625,32.400390625
2025-09-12,25114.0,25048.93,25005.5,65.0703125,108.5
2025-09-15,25069.19921875,25040.197,25114.0,29.001953125,44.80078125
2025-09-16,25239.099609375,25025.102,25069.19921875,213.998046875,169.900390625
2025-09-17,25330.25,25003.92,25239.099609375,326.330078125,91.150390625
2025-09-18,25423.599609375,24967.305,25330.25,456.294921875,93.349609375
2025-09-19,25327.05078125,24961.68,25423.599609375,365.37109375,96.548828125
2025-09-22,25202.349609375,24940.549,25327.05078125,261.80078125,124.701171875
2025-09-23,25169.5,24949.797,25202.349609375,219.703125,32.849609375
2025-09-24,25056.900390625,24914.23,25169.5,142.669921875,112.599609375
2025-09-25,24890.849609375,24917.043,25056.900390625,26.193359375,166.05078125
2025-09-26,24654.69921875,24901.824,24890.849609375,247.125,236.150390625
2025-09-29,24634.900390625,24856.438,24654.69921875,221.537109375,19.798828125
2025-09-30,24611.099609375,24845.059,24634.900390625,233.958984375,23.80078125
2025-10-01,24836.30078125,24840.842,24611.099609375,4.541015625,225.201171875
2025-10-03,24894.25,24855.045,24836.30078125,39.205078125,57.94921875
2025-10-06,25077.650390625,24848.283,24894.25,229.3671875,183.400390625
2025-10-07,25108.30078125,24892.842,25077.650390625,215.458984375,30.650390625
2025-10-08,25046.150390625,24897.34,25108.30078125,148.810546875,62.150390625
2025-10-09,25181.80078125,24878.164,25046.150390625,303.63671875,135.650390625
2025-10-10,25285.349609375,24867.168,25181.80078125,418.181640625,103.548828125
2025-10-13,25227.349609375,24853.371,25285.349609375,373.978515625,58.0
2025-10-14,25145.5,24852.936,25227.349609375,292.564453125,81.849609375
2025-10-15,25323.55078125,24830.822,25145.5,492.728515625,178.05078125
2025-10-16,25585.30078125,24822.494,25323.55078125,762.806640625,261.75
2025-10-17,25709.849609375,24834.486,25585.30078125,875.36328125,124.548828125
2025-10-20,25843.150390625,24847.424,25709.849609375,995.7265625,133.30078125
2025-10-21,25868.599609375,24879.55,25843.150390625,989.048828125,25.44921875
2025-10-23,25891.400390625,24900.545,25868.599609375,990.85546875,22.80078125
2025-10-24,25795.150390625,24888.775,25891.400390625,906.375,96.25
2025-10-27,25966.05078125,24875.55,25795.150390625,1090.5,170.900390625
2025-10-28,25936.19921875,24872.193,25966.05078125,1064.005859375,29.8515625
2025-10-29,26053.900390625,24861.287,25936.19921875,1192.61328125,117.701171875
2025-10-30,25877.849609375,24902.86,26053.900390625,974.990234375,176.05078125
2025-10-31,25722.099609375,24932.158,25877.849609375,789.94140625,155.75
2025-11-03,25763.349609375,24928.05,25722.099609375,835.298828125,41.25
2025-11-04,25597.650390625,24956.299,25763.349609375,641.3515625,165.69921875
2025-11-06,25509.69921875,24940.895,25597.650390625,568.8046875,87.951171875
2025-11-07,25492.30078125,24920.94,25509.69921875,571.361328125,17.3984375
2025-11-10,25574.349609375,24886.443,25492.30078125,687.90625,82.048828125
2025-11-11,25694.94921875,24857.678,25574.349609375,837.271484375,120.599609375
2025-11-12,25875.80078125,24845.23,25694.94921875,1030.5703125,180.8515625
2025-11-13,25879.150390625,24833.316,25875.80078125,1045.833984375,3.349609375
2025-11-14,25910.05078125,24851.049,25879.150390625,1059.001953125,30.900390625
2025-11-17,26013.44921875,24846.355,25910.05078125,1167.09375,103.3984375
2025-11-18,25910.05078125,24865.26,26013.44921875,1044.791015625,103.3984375
2025-11-19,26052.650390625,24887.906,25910.05078125,1164.744140625,142.599609375
2025-11-20,26192.150390625,24918.797,26052.650390625,1273.353515625,139.5
2025-11-21,26068.150390625,24933.918,26192.150390625,1134.232421875,124.0
2025-11-24,25959.5,24973.16,26068.150390625,986.33984375,108.650390625
2025-11-25,25884.80078125,24975.867,25959.5,908.93359375,74.69921875
2025-11-26,26205.30078125,25029.379,25884.80078125,1175.921875,320.5
2025-11-27,26215.55078125,25056.45,26205.30078125,1159.1015625,10.25
2025-11-28,26202.94921875,25103.32,26215.55078125,1099.62890625,12.6015625
2025-12-01,26175.75,25118.672,26202.94921875,1057.078125,27.19921875
2025-12-02,26032.19921875,25104.035,26175.75,928.1640625,143.55078125
2025-12-03,25986.0,25092.479,26032.19921875,893.521484375,46.19921875
2025-12-04,26033.75,25064.773,25986.0,968.9765625,47.75
2025-12-05,26186.44921875,25064.324,26033.75,1122.125,152.69921875
2025-12-08,25960.55078125,25076.13,26186.44921875,884.419921875,225.8984375
2025-12-09,25839.650390625,25060.717,25960.55078125,778.93359375,120.900390625
2025-12-10,25758.0,25050.195,25839.650390625,707.8046875,81.650390625
2025-12-11,25898.55078125,25034.625,25758.0,863.92578125,140.55078125
2025-12-12,26046.94921875,25040.441,25898.55078125,1006.5078125,148.3984375
2025-12-15,26027.30078125,25035.963,26046.94921875,991.337890625,19.6484375
2025-12-16,25860.099609375,25026.205,26027.30078125,833.89453125,167.201171875
2025-12-17,25818.55078125,25014.668,25860.099609375,803.8828125,41.548828125
2025-12-18,25815.55078125,24979.959,25818.55078125,835.591796875,3.0
2025-12-19,25966.400390625,24954.838,25815.55078125,1011.5625,150.849609375
2025-12-22,26172.400390625,24923.416,25966.400390625,1248.984375,206.0
2025-12-23,26177.150390625,24915.95,26172.400390625,1261.201171875,4.75
2025-12-24,26142.099609375,24915.887,26177.150390625,1226.212890625,35.05078125
2025-12-26,26042.30078125,24931.676,26142.099609375,1110.625,99.798828125
2025-12-29,25942.099609375,24922.307,26042.30078125,1019.79296875,100.201171875
2025-12-30,25938.849609375,24897.033,25942.099609375,1041.81640625,3.25
2025-12-31,26129.599609375,24874.41,25938.849609375,1255.189453125,190.75
2026-01-01,26146.55078125,24874.926,26129.599609375,1271.625,16.951171875
2026-01-02,26328.55078125,24874.387,26146.55078125,1454.1640625,182.0
2026-01-05,26250.30078125,24893.738,26328.55078125,1356.5625,78.25
2026-01-06,26178.69921875,24922.545,26250.30078125,1256.154296875,71.6015625
2026-01-07,26140.75,24954.398,26178.69921875,1186.3515625,37.94921875
2026-01-08,25876.849609375,24978.412,26140.75,898.4375,263.900390625
2026-01-09,25683.30078125,24980.697,25876.849609375,702.603515625,193.548828125
2026-01-12,25790.25,24995.492,25683.30078125,794.7578125,106.94921875
2026-01-13,25732.30078125,25021.695,25790.25,710.60546875,57.94921875
2026-01-14,25665.599609375,25019.229,25732.30078125,646.37109375,66.701171875
2026-01-16,25694.349609375,25022.209,25665.599609375,672.140625,28.75
2026-01-19,25585.5,25003.387,25694.349609375,582.11328125,108.849609375
2026-01-20,25232.5,25010.64,25585.5,221.859375,353.0
2026-01-21,25157.5,25010.904,25232.5,146.595703125,75.0
2026-01-22,25289.900390625,25014.13,25157.5,275.76953125,132.400390625
2026-01-23,25048.650390625,25015.244,25289.900390625,33.40625,241.25
2026-01-27,25175.400390625,25009.803,25048.650390625,165.59765625,126.75
2026-01-28,25342.75,25000.473,25175.400390625,342.27734375,167.349609375
2026-01-29,25418.900390625,25002.164,25342.75,416.736328125,76.150390625
2026-01-30,25320.650390625,25003.965,25418.900390625,316.685546875,98.25
2026-02-02,25088.400390625,25019.348,25320.650390625,69.052734375,232.25
2026-02-03,25727.55078125,25024.658,25088.400390625,702.892578125,639.150390625
2026-02-04,25776.0,25025.012,25727.55078125,750.98828125,48.44921875
2026-02-05,25642.80078125,25046.434,25776.0,596.3671875,133.19921875
2026-02-06,25693.69921875,25060.033,25642.80078125,633.666015625,50.8984375
2026-02-09,25867.30078125,25078.934,25693.69921875,788.3671875,173.6015625
2026-02-10,25935.150390625,25087.867,25867.30078125,847.283203125,67.849609375
2026-02-11,25953.849609375,25100.605,25935.150390625,853.244140625,18.69921875
2026-02-12,25807.19921875,25117.746,25953.849609375,689.453125,146.650390625
2026-02-13,25471.099609375,25093.506,25807.19921875,377.59375,336.099609375
2026-02-16,25682.75,25078.623,25471.099609375,604.126953125,211.650390625
2026-02-17,25725.400390625,25063.547,25682.75,661.853515625,42.650390625
2026-02-18,25819.349609375,25044.582,25725.400390625,774.767578125,93.94921875
2026-02-19,25454.349609375,25038.543,25819.349609375,415.806640625,365.0
2026-02-20,25571.25,25041.682,25454.349609375,529.568359375,116.900390625
2026-02-23,25713.0,25035.256,25571.25,677.744140625,141.75
2026-02-24,25424.650390625,25044.908,25713.0,379.7421875,288.349609375
2026-02-25,25482.5,25022.068,25424.650390625,460.431640625,57.849609375
2026-02-26,25496.55078125,25031.809,25482.5,464.7421875,14.05078125
2026-02-27,25178.650390625,25029.467,25496.55078125,149.18359375,317.900390625
2026-03-02,24865.69921875,25003.246,25178.650390625,137.546875,312.951171875
2026-03-04,24480.5,24971.309,24865.69921875,490.80859375,385.19921875
2026-03-05,24765.900390625,24939.043,24480.5,173.142578125,285.400390625
2026-03-06,24450.44921875,24920.234,24765.900390625,469.78515625,315.451171875
2026-03-09,24028.05078125,24899.791,24450.44921875,871.740234375,422.3984375
2026-03-10,24261.599609375,24840.451,24028.05078125,578.8515625,233.548828125
2026-03-11,23866.849609375,24797.732,24261.599609375,930.8828125,394.75
2026-03-12,23639.150390625,24739.31,23866.849609375,1100.16015625,227.69921875
2026-03-13,23151.099609375,24676.58,23639.150390625,1525.48046875,488.05078125
2026-03-16,23408.80078125,24603.926,23151.099609375,1195.125,257.701171875
2026-03-17,23581.150390625,24526.615,23408.80078125,945.46484375,172.349609375
2026-03-18,23777.80078125,24466.668,23581.150390625,688.8671875,196.650390625
2026-03-19,23002.150390625,24402.879,23777.80078125,1400.728515625,775.650390625
2026-03-20,23114.5,24360.398,23002.150390625,1245.8984375,112.349609375
2026-03-23,22512.650390625,24289.512,23114.5,1776.861328125,601.849609375
2026-03-24,22912.400390625,24288.299,22512.650390625,1375.8984375,399.75
2026-03-25,23306.44921875,24282.27,22912.400390625,975.8203125,394.048828125
2026-03-27,22819.599609375,24312.416,23306.44921875,1492.81640625,486.849609375
2026-03-30,22331.400390625,24313.482,22819.599609375,1982.08203125,488.19921875
2026-04-01,22679.400390625,24308.992,22331.400390625,1629.591796875,348.0
2026-04-02,22713.099609375,24323.857,22679.400390625,1610.7578125,33.69921875
2026-04-06,22968.25,24291.406,22713.099609375,1323.15625,255.150390625
2026-04-07,23123.650390625,24294.871,22968.25,1171.220703125,155.400390625
2026-04-08,23997.349609375,24269.338,23123.650390625,271.98828125,873.69921875
2026-04-09,23775.099609375,24280.227,23997.349609375,505.126953125,222.25
2026-04-10,24050.599609375,24276.926,23775.099609375,226.326171875,275.5
2026-04-13,23842.650390625,24269.377,24050.599609375,426.7265625,207.94921875
2026-04-15,24231.30078125,24281.383,23842.650390625,50.08203125,388.650390625
2026-04-16,24196.75,24285.893,24231.30078125,89.142578125,34.55078125
2026-04-17,24353.55078125,24275.23,24196.75,78.3203125,156.80078125
2026-04-20,24364.849609375,24269.99,24353.55078125,94.859375,11.298828125
2026-04-21,24576.599609375,24260.895,24364.849609375,315.705078125,211.75
2026-04-22,24378.099609375,24242.432,24576.599609375,135.66796875,198.5
2026-04-23,24173.05078125,24243.492,24378.099609375,70.44140625,205.048828125
2026-04-24,23897.94921875,24233.416,24173.05078125,335.466796875,275.1015625
2026-04-27,24125.80078125,24225.316,23897.94921875,99.515625,227.8515625
