symbol,asset_type,n_total,train_end,val_end,status,lstm_mae,lstm_rmse,lstm_mape,lstm_r2,lstm_dir_acc,lstm_dir_acc_nonflat,lstm_flat_day_ratio,lstm_test_n,transformer_mae,transformer_rmse,transformer_mape,transformer_r2,transformer_dir_acc,transformer_dir_acc_nonflat,transformer_flat_day_ratio,transformer_test_n,naive_mae,naive_rmse,naive_mape,naive_dir_acc,eval_csv,test_rows,mae_winner,rmse_winner,mape_winner,r2_winner,dir_acc_winner
RELIANCE.NS,stocks,1217,851,1034,ok,23.714504888148905,30.710488469255424,1.632336227609854,0.8121487077391012,55.73770491803278,56.353591160220994,1.092896174863388,183,66.43888212943989,77.45809284279146,4.600049187664022,-0.1950177000496287,49.72677595628415,50.27624309392266,1.092896174863388,183,13.037697713883198,17.923701505449475,0.9163995021311782,1.092896174863388,D:\major-project\backend\stockproject\predictor\models\fresh_eval_stocks_RELIANCE_NS.csv,183,lstm,lstm,lstm,lstm,lstm
AXISBANK.NS,stocks,1217,851,1034,ok,53.76350110997268,69.03521568123784,4.159065690371445,0.5106927107941123,46.44808743169399,46.7032967032967,0.546448087431694,183,102.52799612576844,119.36778048923098,8.102375566373942,-0.4628997001274804,49.18032786885246,49.45054945054945,0.546448087431694,183,13.314751963797814,18.99457125378471,1.0742781733226066,0.546448087431694,D:\major-project\backend\stockproject\predictor\models\fresh_eval_stocks_AXISBANK_NS.csv,183,lstm,lstm,lstm,lstm,transformer
HDFCBANK.NS,stocks,1217,851,1034,ok,60.76781626216701,67.93618404359809,6.284515675043373,0.12353506221602917,55.19125683060109,55.494505494505496,0.546448087431694,183,106.99940865938781,116.18498111722536,11.130436059551311,-1.5634935712442863,57.92349726775956,58.24175824175825,0.546448087431694,183,7.674041247758709,10.648491434639679,0.8583871840990178,0.546448087431694,D:\major-project\backend\stockproject\predictor\models\fresh_eval_stocks_HDFCBANK_NS.csv,183,lstm,lstm,lstm,lstm,transformer
ONGC.NS,stocks,1217,851,1034,ok,11.030822253618084,13.302090307477934,4.279747695760651,0.4125624675199081,48.08743169398907,48.35164835164835,0.546448087431694,183,32.67810367104786,33.81372989618002,13.084161083112505,-2.795841463908998,51.36612021857923,51.64835164835166,0.546448087431694,183,2.432950963088072,3.5945595746620675,0.9516830759118088,0.546448087431694,D:\major-project\backend\stockproject\predictor\models\fresh_eval_stocks_ONGC_NS.csv,183,lstm,lstm,lstm,lstm,transformer
SBIN.NS,stocks,1217,851,1034,ok,145.7180599358564,177.31648224765092,13.96462215250151,-1.2949482803832582,44.26229508196721,44.751381215469614,1.092896174863388,183,153.90759844337003,188.50316070247825,14.71465141872647,-1.5936535371253773,45.3551912568306,45.85635359116022,1.092896174863388,183,9.641804012444501,14.500773270810889,0.9582364180745642,1.092896174863388,D:\major-project\backend\stockproject\predictor\models\fresh_eval_stocks_SBIN_NS.csv,183,lstm,lstm,lstm,lstm,transformer
INFY.NS,stocks,1217,851,1034,ok,30.153504418545083,40.91426342263048,2.125714906828333,0.8916479451524122,48.63387978142077,49.171270718232044,1.092896174863388,183,140.97646711172303,168.19378650545943,9.6101426445086,-0.8310810732436602,49.18032786885246,49.72375690607735,1.092896174863388,183,17.366661196849385,24.813318404823402,1.1952267491066801,1.092896174863388,D:\major-project\backend\stockproject\predictor\models\fresh_eval_stocks_INFY_NS.csv,183,lstm,lstm,lstm,lstm,transformer
TCS.NS,stocks,1217,851,1034,ok,167.32438951502732,251.2312090862715,6.339995076996222,0.13440427943454347,44.26229508196721,44.505494505494504,0.546448087431694,183,300.6519461876708,405.28373884496193,11.160336981804521,-1.2526114205532752,46.994535519125684,47.25274725274725,0.546448087431694,183,30.832243372182376,42.942019534694076,1.0629796977222727,0.546448087431694,D:\major-project\backend\stockproject\predictor\models\fresh_eval_stocks_TCS_NS.csv,183,lstm,lstm,lstm,lstm,transformer
ICICIBANK.NS,stocks,1217,851,1034,ok,82.44457140646345,89.74616144106147,5.919129856978332,-1.8168364992435548,59.56284153005464,59.89010989010989,0.546448087431694,183,59.11057235634392,70.4754719905794,4.284035502084003,-0.7370241683225138,59.56284153005464,59.89010989010989,0.546448087431694,183,11.819121814164959,15.982656520759315,0.8711239390223077,0.546448087431694,D:\major-project\backend\stockproject\predictor\models\fresh_eval_stocks_ICICIBANK_NS.csv,183,transformer,transformer,transformer,transformer,transformer
KOTAKBANK.NS,stocks,1217,851,1034,ok,16.932288331412227,20.251290190288966,4.026405811887372,0.15141822830889362,57.92349726775956,58.88888888888889,1.639344262295082,183,53.728860657071806,58.056213999304994,12.868059514491026,-5.974060755746149,53.00546448087432,53.888888888888886,1.639344262295082,183,3.9392893640070015,5.577670699412471,0.9758608559884909,1.639344262295082,D:\major-project\backend\stockproject\predictor\models\fresh_eval_stocks_KOTAKBANK_NS.csv,183,lstm,lstm,lstm,lstm,lstm
ADANIPORTS.NS,stocks,1217,851,1034,ok,90.81976551827186,102.9511997368572,6.167483212363721,-1.006963312480277,51.91256830601093,52.77777777777778,1.639344262295082,183,108.59929119172644,125.33298441854271,7.416601229675609,-1.9744547875867346,49.72677595628415,50.55555555555556,1.639344262295082,183,17.837160204277662,25.299585109444447,1.2454468987850889,1.639344262295082,D:\major-project\backend\stockproject\predictor\models\fresh_eval_stocks_ADANIPORTS_NS.csv,183,lstm,lstm,lstm,lstm,lstm
