date,actual_close,predicted_close,naive_close,abs_error,naive_abs_error
2025-07-28,56084.8984375,52426.477,56528.8984375,3658.421875,444.0
2025-07-29,56222.0,52391.95,56084.8984375,3830.05078125,137.1015625
2025-07-30,56150.69921875,52346.133,56222.0,3804.56640625,71.30078125
2025-07-31,55961.94921875,52300.65,56150.69921875,3661.30078125,188.75
2025-08-01,55617.6015625,52259.645,55961.94921875,3357.95703125,344.34765625
2025-08-04,55619.3515625,52220.008,55617.6015625,3399.34375,1.75
2025-08-05,55360.25,52161.367,55619.3515625,3198.8828125,259.1015625
2025-08-06,55411.1484375,52117.004,55360.25,3294.14453125,50.8984375
2025-08-07,55521.1484375,52069.64,55411.1484375,3451.5078125,110.0
2025-08-08,55004.8984375,52063.42,55521.1484375,2941.4765625,516.25
2025-08-11,55510.75,52030.977,55004.8984375,3479.7734375,505.8515625
2025-08-12,55043.69921875,52016.68,55510.75,3027.01953125,467.05078125
2025-08-13,55181.44921875,51994.62,55043.69921875,3186.828125,137.75
2025-08-14,55341.8515625,51964.94,55181.44921875,3376.91015625,160.40234375
2025-08-18,55734.8984375,51964.402,55341.8515625,3770.49609375,393.046875
2025-08-19,55865.1484375,52005.742,55734.8984375,3859.40625,130.25
2025-08-20,55698.5,52087.855,55865.1484375,3610.64453125,166.6484375
2025-08-21,55755.44921875,52167.93,55698.5,3587.51953125,56.94921875
2025-08-22,55149.3984375,52236.906,55755.44921875,2912.4921875,606.05078125
2025-08-25,55139.30078125,52252.2,55149.3984375,2887.1015625,10.09765625
2025-08-26,54450.44921875,52230.797,55139.30078125,2219.65234375,688.8515625
2025-08-28,53820.3515625,52161.902,54450.44921875,1658.44921875,630.09765625
2025-08-29,53655.6484375,52076.312,53820.3515625,1579.3359375,164.703125
2025-09-01,54002.44921875,52000.04,53655.6484375,2002.41015625,346.80078125
2025-09-02,53661.0,51954.41,54002.44921875,1706.58984375,341.44921875
2025-09-03,54067.55078125,51891.84,53661.0,2175.7109375,406.55078125
2025-09-04,54075.44921875,51844.82,54067.55078125,2230.62890625,7.8984375
2025-09-05,54114.55078125,51802.375,54075.44921875,2312.17578125,39.1015625
2025-09-08,54186.8984375,51807.89,54114.55078125,2379.0078125,72.34765625
2025-09-09,54216.1015625,51812.098,54186.8984375,2404.00390625,29.203125
2025-09-10,54536.0,51798.848,54216.1015625,2737.15234375,319.8984375
2025-09-11,54669.6015625,51807.71,54536.0,2861.890625,133.6015625
2025-09-12,54809.30078125,51874.047,54669.6015625,2935.25390625,139.69921875
2025-09-15,54887.8515625,51980.625,54809.30078125,2907.2265625,78.55078125
2025-09-16,55147.6015625,52103.746,54887.8515625,3043.85546875,259.75
2025-09-17,55493.30078125,52218.65,55147.6015625,3274.65234375,345.69921875
2025-09-18,55727.44921875,52318.637,55493.30078125,3408.8125,234.1484375
2025-09-19,55458.8515625,52410.957,55727.44921875,3047.89453125,268.59765625
2025-09-22,55284.75,52460.637,55458.8515625,2824.11328125,174.1015625
2025-09-23,55509.75,52501.875,55284.75,3007.875,225.0
2025-09-24,55121.5,52517.387,55509.75,2604.11328125,388.25
2025-09-25,54976.19921875,52520.023,55121.5,2456.17578125,145.30078125
2025-09-26,54389.3515625,52507.508,54976.19921875,1881.84375,586.84765625
2025-09-29,54461.0,52463.44,54389.3515625,1997.55859375,71.6484375
2025-09-30,54635.8515625,52376.566,54461.0,2259.28515625,174.8515625
2025-10-01,55347.94921875,52291.03,54635.8515625,3056.91796875,712.09765625
2025-10-03,55589.25,52275.734,55347.94921875,3313.515625,241.30078125
2025-10-06,56104.8515625,52306.965,55589.25,3797.88671875,515.6015625
2025-10-07,56239.3515625,52366.215,56104.8515625,3873.13671875,134.5
2025-10-08,56018.25,52426.406,56239.3515625,3591.84375,221.1015625
2025-10-09,56192.05078125,52471.504,56018.25,3720.546875,173.80078125
2025-10-10,56609.75,52505.297,56192.05078125,4104.453125,417.69921875
2025-10-13,56625.0,52527.387,56609.75,4097.61328125,15.25
2025-10-14,56496.44921875,52559.723,56625.0,3936.7265625,128.55078125
2025-10-15,56799.8984375,52579.445,56496.44921875,4220.453125,303.44921875
2025-10-16,57422.55078125,52600.17,56799.8984375,4822.37890625,622.65234375
2025-10-17,57713.3515625,52614.133,57422.55078125,5099.21875,290.80078125
2025-10-20,58033.19921875,52635.07,57713.3515625,5398.12890625,319.84765625
2025-10-21,58007.19921875,52647.074,58033.19921875,5360.125,26.0
2025-10-23,58078.05078125,52667.31,58007.19921875,5410.7421875,70.8515625
2025-10-24,57699.6015625,52671.83,58078.05078125,5027.7734375,378.44921875
2025-10-27,58114.25,52675.28,57699.6015625,5438.96875,414.6484375
2025-10-28,58214.1015625,52666.438,58114.25,5547.6640625,99.8515625
2025-10-29,58385.25,52659.145,58214.1015625,5726.10546875,171.1484375
2025-10-30,58031.1015625,52668.6,58385.25,5362.5,354.1484375
