date,actual_close,predicted_close,naive_close,abs_error,naive_abs_error
2025-07-22,25060.900390625,23622.156,25090.69921875,1438.744140625,29.798828125
2025-07-23,25219.900390625,23583.34,25060.900390625,1636.560546875,159.0
2025-07-24,25062.099609375,23562.178,25219.900390625,1499.921875,157.80078125
2025-07-25,24837.0,23534.303,25062.099609375,1302.697265625,225.099609375
2025-07-28,24680.900390625,23491.965,24837.0,1188.935546875,156.099609375
2025-07-29,24821.099609375,23422.318,24680.900390625,1398.78125,140.19921875
2025-07-30,24855.05078125,23392.436,24821.099609375,1462.615234375,33.951171875
2025-07-31,24768.349609375,23366.523,24855.05078125,1401.826171875,86.701171875
2025-08-01,24565.349609375,23360.371,24768.349609375,1204.978515625,203.0
2025-08-04,24722.75,23328.547,24565.349609375,1394.203125,157.400390625
2025-08-05,24649.55078125,23300.223,24722.75,1349.328125,73.19921875
2025-08-06,24574.19921875,23279.39,24649.55078125,1294.80859375,75.3515625
2025-08-07,24596.150390625,23249.025,24574.19921875,1347.125,21.951171875
2025-08-08,24363.30078125,23258.041,24596.150390625,1105.259765625,232.849609375
2025-08-11,24585.05078125,23216.617,24363.30078125,1368.43359375,221.75
2025-08-12,24487.400390625,23179.97,24585.05078125,1307.4296875,97.650390625
2025-08-13,24619.349609375,23161.98,24487.400390625,1457.369140625,131.94921875
2025-08-14,24631.30078125,23177.129,24619.349609375,1454.171875,11.951171875
2025-08-18,24876.94921875,23203.371,24631.30078125,1673.578125,245.6484375
2025-08-19,24980.650390625,23241.96,24876.94921875,1738.689453125,103.701171875
2025-08-20,25050.55078125,23268.31,24980.650390625,1782.240234375,69.900390625
2025-08-21,25083.75,23318.895,25050.55078125,1764.85546875,33.19921875
2025-08-22,24870.099609375,23339.63,25083.75,1530.46875,213.650390625
2025-08-25,24967.75,23369.94,24870.099609375,1597.810546875,97.650390625
2025-08-26,24712.05078125,23402.566,24967.75,1309.484375,255.69921875
2025-08-28,24500.900390625,23426.244,24712.05078125,1074.65625,211.150390625
2025-08-29,24426.849609375,23412.502,24500.900390625,1014.34765625,74.05078125
2025-09-01,24625.05078125,23386.254,24426.849609375,1238.796875,198.201171875
2025-09-02,24579.599609375,23359.727,24625.05078125,1219.873046875,45.451171875
2025-09-03,24715.05078125,23360.91,24579.599609375,1354.140625,135.451171875
2025-09-04,24734.30078125,23380.58,24715.05078125,1353.720703125,19.25
2025-09-05,24741.0,23378.346,24734.30078125,1362.654296875,6.69921875
2025-09-08,24773.150390625,23378.941,24741.0,1394.208984375,32.150390625
2025-09-09,24868.599609375,23379.33,24773.150390625,1489.26953125,95.44921875
2025-09-10,24973.099609375,23398.459,24868.599609375,1574.640625,104.5
2025-09-11,25005.5,23420.648,24973.099609375,1584.8515625,32.400390625
2025-09-12,25114.0,23439.71,25005.5,1674.2890625,108.5
2025-09-15,25069.19921875,23469.81,25114.0,1599.388671875,44.80078125
2025-09-16,25239.099609375,23477.646,25069.19921875,1761.453125,169.900390625
2025-09-17,25330.25,23528.826,25239.099609375,1801.423828125,91.150390625
2025-09-18,25423.599609375,23577.135,25330.25,1846.46484375,93.349609375
2025-09-19,25327.05078125,23635.121,25423.599609375,1691.9296875,96.548828125
2025-09-22,25202.349609375,23687.441,25327.05078125,1514.908203125,124.701171875
2025-09-23,25169.5,23719.146,25202.349609375,1450.353515625,32.849609375
2025-09-24,25056.900390625,23734.828,25169.5,1322.072265625,112.599609375
2025-09-25,24890.849609375,23739.725,25056.900390625,1151.125,166.05078125
2025-09-26,24654.69921875,23702.049,24890.849609375,952.650390625,236.150390625
2025-09-29,24634.900390625,23662.08,24654.69921875,972.8203125,19.798828125
2025-09-30,24611.099609375,23592.871,24634.900390625,1018.228515625,23.80078125
2025-10-01,24836.30078125,23528.54,24611.099609375,1307.76171875,225.201171875
2025-10-03,24894.25,23491.914,24836.30078125,1402.3359375,57.94921875
