symbol,lstm_ok,transformer_ok,lstm_metadata_source,transformer_metadata_source,lstm_sequence_length,transformer_sequence_length,test_rows_common,mae_lstm,mae_transformer,rmse_lstm,rmse_transformer,mape_lstm,mape_transformer,r2_lstm,r2_transformer,dir_acc_lstm,dir_acc_transformer,mae_winner,rmse_winner,mape_winner,r2_winner,dir_acc_winner
RELIANCE.NS,True,True,new,new,120,120,183,23.714504888148905,66.43888212943989,30.710488469255424,77.45809284279146,1.632336227609854,4.600049187664022,0.8121487077391012,-0.1950177000496287,55.73770491803278,49.72677595628415,lstm,lstm,lstm,lstm,lstm
AXISBANK.NS,True,True,new,new,120,120,183,53.76350110997268,102.52799612576844,69.03521568123784,119.36778048923098,4.159065690371445,8.102375566373942,0.5106927107941123,-0.4628997001274804,46.44808743169399,49.18032786885246,lstm,lstm,lstm,lstm,transformer
HDFCBANK.NS,True,True,new,new,120,120,183,60.76781626216701,106.99940865938781,67.93618404359809,116.18498111722536,6.284515675043373,11.130436059551311,0.12353506221602917,-1.5634935712442863,55.19125683060109,57.92349726775956,lstm,lstm,lstm,lstm,transformer
ONGC.NS,True,True,new,new,120,120,183,11.030822253618084,32.67810367104786,13.302090307477934,33.81372989618002,4.279747695760651,13.084161083112505,0.4125624675199081,-2.795841463908998,48.08743169398907,51.36612021857923,lstm,lstm,lstm,lstm,transformer
SBIN.NS,True,True,new,new,120,120,183,145.7180599358564,153.90759844337003,177.31648224765092,188.50316070247825,13.96462215250151,14.71465141872647,-1.2949482803832582,-1.5936535371253773,44.26229508196721,45.3551912568306,lstm,lstm,lstm,lstm,transformer
INFY.NS,True,True,new,new,120,120,183,30.153504418545083,140.97646711172303,40.91426342263048,168.19378650545943,2.125714906828333,9.6101426445086,0.8916479451524122,-0.8310810732436602,48.63387978142077,49.18032786885246,lstm,lstm,lstm,lstm,transformer
TCS.NS,True,True,new,new,120,120,183,167.32438951502732,300.6519461876708,251.2312090862715,405.28373884496193,6.339995076996222,11.160336981804521,0.13440427943454347,-1.2526114205532752,44.26229508196721,46.994535519125684,lstm,lstm,lstm,lstm,transformer
ICICIBANK.NS,True,True,new,new,120,120,183,82.44457140646345,59.11057235634392,89.74616144106147,70.4754719905794,5.919129856978332,4.284035502084003,-1.8168364992435548,-0.7370241683225138,59.56284153005464,59.56284153005464,transformer,transformer,transformer,transformer,transformer
KOTAKBANK.NS,True,True,new,new,120,120,183,16.932288331412227,53.728860657071806,20.251290190288966,58.056213999304994,4.026405811887372,12.868059514491026,0.15141822830889362,-5.974060755746149,57.92349726775956,53.00546448087432,lstm,lstm,lstm,lstm,lstm
ADANIPORTS.NS,True,True,new,new,120,120,183,90.81976551827186,108.59929119172644,102.9511997368572,125.33298441854271,6.167483212363721,7.416601229675609,-1.006963312480277,-1.9744547875867346,51.91256830601093,49.72677595628415,lstm,lstm,lstm,lstm,lstm
ADANIENT.NS,True,True,new,new,120,120,183,58.737584181822065,288.5444169174778,71.59928536604193,307.65775529774356,2.6585863269841843,13.035266421007794,0.8614620502709802,-1.557920926621704,51.91256830601093,43.169398907103826,lstm,lstm,lstm,lstm,lstm
BAJFINANCE.NS,True,True,new,new,120,120,183,145.1822813273779,240.44336938076333,157.08762858494546,248.9062448361927,14.685307074867362,24.579497240380643,-4.51729495236179,-12.852042655612948,46.44808743169399,46.44808743169399,lstm,lstm,lstm,lstm,transformer
BHARTIARTL.NS,True,True,new,new,120,120,183,213.28888639856558,222.70231720137465,227.56712708340925,243.3591622579781,10.65429273514702,11.083181477052475,-4.0022411051754725,-4.720591947256079,49.72677595628415,49.72677595628415,lstm,lstm,lstm,lstm,transformer
